Customer ID,Membership Start Date,Transaction Date,Payment Type,Revenue
320596,2018-07-02,2018-08-02,Monthly Fee,26.5
320596,2018-07-02,2018-09-02,Monthly Fee,26.5
320596,2018-07-02,2018-10-02,Monthly Fee,26.5
320596,2018-07-02,2018-11-06,Monthly Fee,26.5
320596,2018-07-02,2018-12-02,Monthly Fee,26.5
320596,2018-07-02,2019-01-02,Monthly Fee,26.5
320596,2018-07-02,2019-02-02,Monthly Fee,26.5
320596,2018-07-02,2019-03-02,Monthly Fee,26.5
320596,2018-07-02,2019-04-02,Monthly Fee,26.5
320596,2018-07-02,2019-05-07,Monthly Fee,26.5
374498,2019-01-02,2019-01-01,Annual Fee,382.9
374498,2019-01-02,2019-01-01,Monthly Fee,26.5
374498,2019-01-02,2019-02-02,Monthly Fee,26.5
374498,2019-01-02,2019-03-02,Monthly Fee,26.5
374498,2019-01-02,2019-04-02,Monthly Fee,26.5
374498,2019-01-02,2019-05-02,Monthly Fee,26.5
373462,2019-01-01,2018-12-29,Annual Fee,647.4
373462,2019-01-01,2018-12-29,Monthly Fee,26.5
373462,2019-01-01,2019-02-01,Monthly Fee,26.5
374078,2019-01-01,2018-12-31,Annual Fee,382.9
374078,2019-01-01,2018-12-31,Monthly Fee,26.5
374078,2019-01-01,2019-02-01,Monthly Fee,26.5
374078,2019-01-01,2019-03-01,Monthly Fee,26.5
371893,2018-12-21,2018-12-20,Annual Fee,1002.0
371893,2018-12-21,2018-12-20,Monthly Fee,26.5
371893,2018-12-21,2019-01-21,Monthly Fee,26.5
371399,2018-12-20,2018-12-19,Annual Fee,949.7
371399,2018-12-20,2018-12-19,Monthly Fee,26.5
371399,2018-12-20,2019-01-20,Monthly Fee,26.5
371399,2018-12-20,2019-02-20,Monthly Fee,26.5
371399,2018-12-20,2019-03-20,Monthly Fee,26.5
371399,2018-12-20,2019-04-20,Monthly Fee,26.5
371399,2018-12-20,2019-05-20,Monthly Fee,26.5
367275,2018-12-15,2018-12-14,Annual Fee,382.9
367275,2018-12-15,2018-12-14,Monthly Fee,26.5
367326,2018-12-15,2018-12-14,Annual Fee,382.9
367326,2018-12-15,2018-12-14,Monthly Fee,26.5
367326,2018-12-15,2019-01-15,Monthly Fee,26.5
367326,2018-12-15,2019-02-15,Monthly Fee,26.5
367326,2018-12-15,2019-03-15,Monthly Fee,26.5
367326,2018-12-15,2019-04-15,Monthly Fee,26.5
367326,2018-12-15,2019-05-15,Monthly Fee,26.5
367803,2018-12-15,2018-12-14,Annual Fee,2498.9
367803,2018-12-15,2018-12-14,Monthly Fee,26.5
367803,2018-12-15,2019-01-15,Monthly Fee,26.5
367803,2018-12-15,2019-02-15,Monthly Fee,26.5
367803,2018-12-15,2019-03-15,Monthly Fee,26.5
367803,2018-12-15,2019-04-15,Monthly Fee,26.5
367803,2018-12-15,2019-05-15,Monthly Fee,26.5
366602,2018-12-14,2018-12-13,Annual Fee,509.2
366602,2018-12-14,2018-12-13,Monthly Fee,26.5
366602,2018-12-14,2019-01-14,Monthly Fee,26.5
366602,2018-12-14,2019-02-14,Monthly Fee,26.5
366602,2018-12-14,2019-03-14,Monthly Fee,26.5
366602,2018-12-14,2019-04-14,Monthly Fee,26.5
366602,2018-12-14,2019-05-14,Monthly Fee,26.5
365591,2018-12-12,2018-12-11,Annual Fee,285.9
365591,2018-12-12,2018-12-11,Monthly Fee,26.5
365591,2018-12-12,2019-01-14,Monthly Fee,26.5
365591,2018-12-12,2019-02-19,Monthly Fee,26.5
365591,2018-12-12,2019-03-12,Monthly Fee,26.5
365591,2018-12-12,2019-04-12,Monthly Fee,26.5
365591,2018-12-12,2019-05-12,Monthly Fee,26.5
363478,2018-12-05,2018-12-04,Annual Fee,599.9
363478,2018-12-05,2018-12-04,Monthly Fee,26.5
363478,2018-12-05,2019-01-05,Monthly Fee,26.5
363478,2018-12-05,2019-02-05,Monthly Fee,26.5
363478,2018-12-05,2019-03-05,Monthly Fee,26.5
362837,2018-12-04,2018-12-03,Annual Fee,477.6
362837,2018-12-04,2018-12-03,Monthly Fee,26.5
361092,2018-12-01,2018-11-28,Annual Fee,805.9
361092,2018-12-01,2018-11-28,Monthly Fee,26.5
361092,2018-12-01,2019-01-01,Monthly Fee,26.5
361092,2018-12-01,2019-02-01,Monthly Fee,26.5
361092,2018-12-01,2019-03-01,Monthly Fee,26.5
361092,2018-12-01,2019-04-01,Monthly Fee,26.5
361092,2018-12-01,2019-05-01,Monthly Fee,26.5
361583,2018-12-01,2018-11-30,Annual Fee,331.9
361583,2018-12-01,2018-11-30,Monthly Fee,26.5
361583,2018-12-01,2019-01-01,Monthly Fee,26.5
361583,2018-12-01,2019-02-01,Monthly Fee,26.5
361583,2018-12-01,2019-03-01,Monthly Fee,26.5
361583,2018-12-01,2019-04-01,Monthly Fee,26.5
361583,2018-12-01,2019-05-01,Monthly Fee,26.5
361595,2018-12-01,2018-11-30,Annual Fee,277.1
361595,2018-12-01,2018-11-30,Monthly Fee,26.5
361595,2018-12-01,2019-01-04,Monthly Fee,26.5
361595,2018-12-01,2019-02-01,Monthly Fee,26.5
361595,2018-12-01,2019-03-01,Monthly Fee,26.5
361634,2018-12-01,2018-11-30,Annual Fee,805.9
361634,2018-12-01,2018-11-30,Monthly Fee,26.5
361963,2018-12-01,2018-11-30,Annual Fee,668.1
361963,2018-12-01,2018-11-30,Monthly Fee,26.5
361963,2018-12-01,2019-01-01,Monthly Fee,26.5
361963,2018-12-01,2019-02-01,Monthly Fee,26.5
361963,2018-12-01,2019-03-01,Monthly Fee,26.5
359801,2018-11-25,2018-11-24,Annual Fee,241.8
359801,2018-11-25,2018-11-24,Monthly Fee,26.5
359703,2018-11-24,2018-11-23,Annual Fee,1378.4
359703,2018-11-24,2018-11-23,Monthly Fee,26.5
359766,2018-11-24,2018-11-23,Annual Fee,382.9
359766,2018-11-24,2018-11-23,Monthly Fee,26.5
359766,2018-11-24,2018-12-24,Monthly Fee,26.5
359766,2018-11-24,2019-01-24,Monthly Fee,26.5
359766,2018-11-24,2019-02-24,Monthly Fee,26.5
359766,2018-11-24,2019-03-24,Monthly Fee,26.5
359766,2018-11-24,2019-04-24,Monthly Fee,26.5
359766,2018-11-24,2019-05-24,Monthly Fee,26.5
358347,2018-11-17,2018-11-16,Annual Fee,949.7
358347,2018-11-17,2018-11-16,Monthly Fee,26.5
358347,2018-11-17,2018-12-17,Monthly Fee,26.5
358347,2018-11-17,2019-01-17,Monthly Fee,26.5
357914,2018-11-16,2018-11-15,Annual Fee,285.9
357914,2018-11-16,2018-11-15,Monthly Fee,26.5
357411,2018-11-15,2018-11-14,Annual Fee,658.6
357411,2018-11-15,2018-11-14,Monthly Fee,26.5
356239,2018-11-10,2018-11-09,Annual Fee,997.1
356239,2018-11-10,2018-11-09,Monthly Fee,26.5
356239,2018-11-10,2018-12-10,Monthly Fee,26.5
356239,2018-11-10,2019-01-10,Monthly Fee,26.5
356239,2018-11-10,2019-02-10,Monthly Fee,26.5
356239,2018-11-10,2019-03-10,Monthly Fee,26.5
356239,2018-11-10,2019-04-10,Monthly Fee,26.5
356239,2018-11-10,2019-05-10,Monthly Fee,26.5
355508,2018-11-09,2018-11-08,Annual Fee,242.6
355508,2018-11-09,2018-11-08,Monthly Fee,26.5
353547,2018-11-03,2018-11-02,Annual Fee,759.1
353547,2018-11-03,2018-11-02,Monthly Fee,26.5
353547,2018-11-03,2018-12-03,Monthly Fee,26.5
353547,2018-11-03,2019-01-03,Monthly Fee,26.5
352520,2018-11-02,2018-11-01,Annual Fee,382.9
352520,2018-11-02,2018-11-01,Monthly Fee,26.5
352520,2018-11-02,2018-12-02,Monthly Fee,26.5
352520,2018-11-02,2019-01-02,Monthly Fee,26.5
352520,2018-11-02,2019-02-02,Monthly Fee,26.5
352520,2018-11-02,2019-03-02,Monthly Fee,26.5
352520,2018-11-02,2019-04-02,Monthly Fee,26.5
352520,2018-11-02,2019-05-02,Monthly Fee,26.5
349263,2018-10-25,2018-10-24,Annual Fee,382.9
349263,2018-10-25,2018-10-24,Monthly Fee,26.5
348722,2018-10-23,2018-10-22,Annual Fee,382.9
348722,2018-10-23,2018-10-22,Monthly Fee,26.5
359078,2018-11-28,2018-11-20,Annual Fee,467.1
359078,2018-11-28,2018-11-20,Monthly Fee,26.5
359078,2018-11-28,2018-12-28,Monthly Fee,26.5
359078,2018-11-28,2019-01-28,Monthly Fee,26.5
359078,2018-11-28,2019-03-28,Monthly Fee,26.5
359078,2018-11-28,2019-03-04,Monthly Fee,26.5
359078,2018-11-28,2019-04-28,Monthly Fee,26.5
359078,2018-11-28,2019-05-28,Monthly Fee,26.5
324694,2018-07-21,2018-07-20,Annual Fee,561.09
324694,2018-07-21,2018-07-20,Monthly Fee,26.5
324694,2018-07-21,2018-08-21,Monthly Fee,26.5
324694,2018-07-21,2018-09-21,Monthly Fee,26.5
324694,2018-07-21,2018-10-21,Monthly Fee,26.5
324694,2018-07-21,2018-11-21,Monthly Fee,26.5
324694,2018-07-21,2018-12-21,Monthly Fee,26.5
324694,2018-07-21,2019-01-21,Monthly Fee,26.5
324694,2018-07-21,2019-02-21,Monthly Fee,26.5
324694,2018-07-21,2019-03-21,Monthly Fee,26.5
324694,2018-07-21,2019-04-21,Monthly Fee,26.5
324694,2018-07-21,2019-05-21,Monthly Fee,26.5
324752,2018-07-21,2018-07-20,Annual Fee,1418.88
324752,2018-07-21,2018-07-20,Monthly Fee,26.5
324752,2018-07-21,2018-08-21,Monthly Fee,26.5
324504,2018-07-20,2018-07-19,Annual Fee,508.53
324504,2018-07-20,2018-07-19,Monthly Fee,26.5
324504,2018-07-20,2018-08-20,Monthly Fee,26.5
324504,2018-07-20,2018-09-20,Monthly Fee,26.5
324504,2018-07-20,2018-10-20,Monthly Fee,26.5
324504,2018-07-20,2018-11-20,Monthly Fee,26.5
324504,2018-07-20,2018-12-20,Monthly Fee,26.5
324504,2018-07-20,2019-01-20,Monthly Fee,26.5
323783,2018-07-17,2018-07-16,Annual Fee,382.89
323783,2018-07-17,2018-07-16,Monthly Fee,26.5
323783,2018-07-17,2018-08-17,Monthly Fee,26.5
345622,2018-10-11,2018-10-10,Annual Fee,524.9
345622,2018-10-11,2018-10-10,Monthly Fee,26.5
345622,2018-10-11,2018-11-11,Monthly Fee,26.5
345622,2018-10-11,2018-12-14,Monthly Fee,26.5
332494,2018-08-21,2018-08-20,Annual Fee,784.38
332494,2018-08-21,2018-08-20,Monthly Fee,26.5
332494,2018-08-21,2018-09-21,Monthly Fee,26.5
332494,2018-08-21,2018-10-21,Monthly Fee,26.5
332494,2018-08-21,2018-11-21,Monthly Fee,26.5
332494,2018-08-21,2018-12-21,Monthly Fee,26.5
396198,2019-04-25,2019-03-26,Annual Fee,301.0
396198,2019-04-25,2019-03-26,Monthly Fee,26.5
401136,2019-04-16,2019-04-15,Annual Fee,1400.6
401136,2019-04-16,2019-04-15,Monthly Fee,26.5
401136,2019-04-16,2019-05-16,Monthly Fee,26.5
401138,2019-04-16,2019-04-15,Annual Fee,617.0
401138,2019-04-16,2019-04-15,Monthly Fee,26.5
401139,2019-04-16,2019-04-15,Annual Fee,382.9
401139,2019-04-16,2019-04-15,Monthly Fee,26.5
401139,2019-04-16,2019-05-16,Monthly Fee,26.5
400453,2019-04-15,2019-04-11,Annual Fee,331.9
400453,2019-04-15,2019-04-11,Monthly Fee,26.5
400453,2019-04-15,2019-05-15,Monthly Fee,26.5
401047,2019-04-15,2019-04-14,Annual Fee,808.7
401047,2019-04-15,2019-04-14,Monthly Fee,26.5
401047,2019-04-15,2019-05-15,Monthly Fee,26.5
400669,2019-04-13,2019-04-12,Annual Fee,617.0
400669,2019-04-13,2019-04-12,Monthly Fee,26.5
400669,2019-04-13,2019-05-13,Monthly Fee,26.5
400673,2019-04-13,2019-04-12,Annual Fee,269.9
400673,2019-04-13,2019-04-12,Monthly Fee,26.5
400673,2019-04-13,2019-05-13,Monthly Fee,26.5
400139,2019-04-11,2019-04-10,Annual Fee,1017.5
400139,2019-04-11,2019-04-10,Monthly Fee,26.5
400139,2019-04-11,2019-05-11,Monthly Fee,26.5
400141,2019-04-11,2019-04-10,Annual Fee,382.9
400141,2019-04-11,2019-04-10,Monthly Fee,26.5
400141,2019-04-11,2019-05-11,Monthly Fee,26.5
400146,2019-04-11,2019-04-10,Annual Fee,331.9
400146,2019-04-11,2019-04-10,Monthly Fee,26.5
400146,2019-04-11,2019-05-11,Monthly Fee,26.5
399528,2019-04-09,2019-04-08,Annual Fee,738.9
399528,2019-04-09,2019-04-08,Monthly Fee,26.5
399443,2019-04-08,2019-04-07,Annual Fee,331.9
399443,2019-04-08,2019-04-07,Monthly Fee,26.5
399443,2019-04-08,2019-05-08,Monthly Fee,26.5
399444,2019-04-08,2019-04-07,Annual Fee,949.7
399444,2019-04-08,2019-04-07,Monthly Fee,26.5
399444,2019-04-08,2019-05-08,Monthly Fee,26.5
399343,2019-04-07,2019-04-06,Annual Fee,895.7
399343,2019-04-07,2019-04-06,Monthly Fee,26.5
399343,2019-04-07,2019-05-07,Monthly Fee,26.5
399346,2019-04-07,2019-04-06,Annual Fee,1400.6
399346,2019-04-07,2019-04-06,Monthly Fee,26.5
399346,2019-04-07,2019-05-07,Monthly Fee,26.5
399348,2019-04-07,2019-04-06,Annual Fee,331.9
399348,2019-04-07,2019-04-06,Monthly Fee,26.5
395968,2019-04-06,2019-03-25,Annual Fee,382.9
395968,2019-04-06,2019-03-25,Monthly Fee,26.5
398732,2019-04-06,2019-04-04,Annual Fee,241.8
398732,2019-04-06,2019-04-04,Monthly Fee,26.5
399042,2019-04-06,2019-04-05,Annual Fee,1344.9
399042,2019-04-06,2019-04-05,Monthly Fee,26.5
399042,2019-04-06,2019-05-06,Monthly Fee,26.5
399044,2019-04-06,2019-04-05,Annual Fee,331.9
399044,2019-04-06,2019-04-05,Monthly Fee,26.5
399047,2019-04-06,2019-04-05,Annual Fee,319.6
399047,2019-04-06,2019-04-05,Monthly Fee,26.5
399051,2019-04-06,2019-04-05,Annual Fee,500.3
399051,2019-04-06,2019-04-05,Monthly Fee,26.5
399054,2019-04-06,2019-04-05,Annual Fee,1412.4
399054,2019-04-06,2019-04-05,Monthly Fee,26.5
399054,2019-04-06,2019-05-06,Monthly Fee,26.5
399091,2019-04-06,2019-04-05,Annual Fee,331.9
399091,2019-04-06,2019-04-05,Monthly Fee,26.5
399091,2019-04-06,2019-05-06,Monthly Fee,26.5
399093,2019-04-06,2019-04-05,Annual Fee,285.9
399093,2019-04-06,2019-04-05,Monthly Fee,26.5
399093,2019-04-06,2019-05-06,Monthly Fee,26.5
399127,2019-04-06,2019-04-05,Annual Fee,422.0
399127,2019-04-06,2019-04-05,Monthly Fee,26.5
391438,2019-04-05,2019-03-06,Annual Fee,331.9
391438,2019-04-05,2019-03-06,Monthly Fee,26.5
398727,2019-04-05,2019-04-04,Annual Fee,808.7
398727,2019-04-05,2019-04-04,Monthly Fee,26.5
398727,2019-04-05,2019-05-05,Monthly Fee,26.5
398736,2019-04-05,2019-04-04,Annual Fee,285.9
398736,2019-04-05,2019-04-04,Monthly Fee,26.5
398736,2019-04-05,2019-05-05,Monthly Fee,26.5
394991,2019-04-04,2019-03-21,Annual Fee,1724.3
394991,2019-04-04,2019-03-21,Monthly Fee,26.5
394991,2019-04-04,2019-05-04,Monthly Fee,26.5
398386,2019-04-04,2019-04-03,Annual Fee,241.8
398386,2019-04-04,2019-04-03,Monthly Fee,26.5
398387,2019-04-04,2019-04-03,Annual Fee,285.9
398387,2019-04-04,2019-04-03,Monthly Fee,26.5
398403,2019-04-04,2019-04-03,Annual Fee,827.6
398403,2019-04-04,2019-04-03,Monthly Fee,26.5
398403,2019-04-04,2019-05-04,Monthly Fee,26.5
398791,2019-04-04,2019-04-04,Annual Fee,555.4
398791,2019-04-04,2019-04-04,Monthly Fee,26.5
398791,2019-04-04,2019-05-09,Monthly Fee,26.5
398048,2019-04-03,2019-04-02,Annual Fee,285.9
398048,2019-04-03,2019-04-02,Monthly Fee,26.5
398048,2019-04-03,2019-05-03,Monthly Fee,26.5
398060,2019-04-03,2019-04-02,Annual Fee,331.9
398060,2019-04-03,2019-04-02,Monthly Fee,26.5
398060,2019-04-03,2019-05-03,Monthly Fee,26.5
397632,2019-04-02,2019-04-01,Annual Fee,285.9
397632,2019-04-02,2019-04-01,Monthly Fee,26.5
397636,2019-04-02,2019-04-01,Annual Fee,668.1
397636,2019-04-02,2019-04-01,Monthly Fee,26.5
397641,2019-04-02,2019-04-01,Annual Fee,269.9
397641,2019-04-02,2019-04-01,Monthly Fee,26.5
397641,2019-04-02,2019-05-02,Monthly Fee,26.5
397644,2019-04-02,2019-04-01,Annual Fee,382.9
397644,2019-04-02,2019-04-01,Monthly Fee,26.5
397644,2019-04-02,2019-05-08,Monthly Fee,26.5
397661,2019-04-02,2019-04-01,Annual Fee,805.9
397661,2019-04-02,2019-04-01,Monthly Fee,26.5
397661,2019-04-02,2019-05-02,Monthly Fee,26.5
397666,2019-04-02,2019-04-01,Annual Fee,517.0
397666,2019-04-02,2019-04-01,Monthly Fee,26.5
397676,2019-04-02,2019-04-01,Annual Fee,331.9
397676,2019-04-02,2019-04-01,Monthly Fee,26.5
397676,2019-04-02,2019-05-02,Monthly Fee,26.5
397678,2019-04-02,2019-04-01,Annual Fee,277.1
397678,2019-04-02,2019-04-01,Monthly Fee,26.5
397689,2019-04-02,2019-04-01,Annual Fee,269.9
397689,2019-04-02,2019-04-01,Monthly Fee,26.5
397695,2019-04-02,2019-04-01,Annual Fee,245.4
397695,2019-04-02,2019-04-01,Monthly Fee,26.5
392525,2019-04-01,2019-03-11,Annual Fee,304.1
392525,2019-04-01,2019-03-11,Monthly Fee,26.5
392525,2019-04-01,2019-05-01,Monthly Fee,26.5
393236,2019-04-01,2019-03-14,Annual Fee,382.9
393236,2019-04-01,2019-03-14,Monthly Fee,26.5
393281,2019-04-01,2019-03-14,Annual Fee,2522.3
393281,2019-04-01,2019-03-14,Monthly Fee,26.5
394316,2019-04-01,2019-03-19,Annual Fee,774.5
394316,2019-04-01,2019-03-19,Monthly Fee,26.5
394316,2019-04-01,2019-05-27,Monthly Fee,26.5
394316,2019-04-01,2019-05-01,Monthly Fee,26.5
395092,2019-04-01,2019-03-21,Annual Fee,422.0
395092,2019-04-01,2019-03-21,Monthly Fee,26.5
395092,2019-04-01,2019-05-01,Monthly Fee,26.5
395323,2019-04-01,2019-03-22,Annual Fee,748.8
395323,2019-04-01,2019-03-22,Monthly Fee,26.5
395445,2019-04-01,2019-03-22,Annual Fee,878.6
395445,2019-04-01,2019-03-22,Monthly Fee,26.5
395445,2019-04-01,2019-05-01,Monthly Fee,26.5
395728,2019-04-01,2019-03-25,Annual Fee,782.3
395728,2019-04-01,2019-03-25,Monthly Fee,26.5
395728,2019-04-01,2019-05-01,Monthly Fee,26.5
395751,2019-04-01,2019-03-25,Annual Fee,241.8
395751,2019-04-01,2019-03-25,Monthly Fee,26.5
396141,2019-04-01,2019-03-26,Annual Fee,1689.6
396141,2019-04-01,2019-03-26,Monthly Fee,26.5
396369,2019-04-01,2019-03-27,Annual Fee,555.4
396369,2019-04-01,2019-03-27,Monthly Fee,26.5
396548,2019-04-01,2019-03-27,Annual Fee,1652.7
396548,2019-04-01,2019-03-27,Monthly Fee,26.5
396548,2019-04-01,2019-05-01,Monthly Fee,26.5
396621,2019-04-01,2019-03-28,Annual Fee,382.9
396621,2019-04-01,2019-03-28,Monthly Fee,26.5
396645,2019-04-01,2019-03-28,Annual Fee,748.8
396645,2019-04-01,2019-03-28,Monthly Fee,26.5
396645,2019-04-01,2019-05-01,Monthly Fee,26.5
396664,2019-04-01,2019-03-28,Annual Fee,277.1
396664,2019-04-01,2019-03-28,Monthly Fee,26.5
396672,2019-04-01,2019-03-28,Annual Fee,331.9
396672,2019-04-01,2019-03-28,Monthly Fee,26.5
396672,2019-04-01,2019-05-01,Monthly Fee,26.5
396685,2019-04-01,2019-03-28,Annual Fee,1652.7
396685,2019-04-01,2019-03-28,Monthly Fee,26.5
396685,2019-04-01,2019-05-01,Monthly Fee,26.5
396688,2019-04-01,2019-03-28,Annual Fee,617.0
396688,2019-04-01,2019-03-28,Monthly Fee,26.5
396688,2019-04-01,2019-05-01,Monthly Fee,26.5
396707,2019-04-01,2019-03-28,Annual Fee,1987.4
396707,2019-04-01,2019-03-28,Monthly Fee,26.5
396707,2019-04-01,2019-05-01,Monthly Fee,26.5
396710,2019-04-01,2019-03-28,Annual Fee,245.4
396710,2019-04-01,2019-03-28,Monthly Fee,26.5
396712,2019-04-01,2019-03-28,Annual Fee,382.9
396712,2019-04-01,2019-03-28,Monthly Fee,26.5
396712,2019-04-01,2019-05-01,Monthly Fee,26.5
396734,2019-04-01,2019-03-28,Annual Fee,506.8
396734,2019-04-01,2019-03-28,Monthly Fee,26.5
396734,2019-04-01,2019-05-01,Monthly Fee,26.5
396745,2019-04-01,2019-03-28,Annual Fee,1079.1
396745,2019-04-01,2019-03-28,Monthly Fee,26.5
396745,2019-04-01,2019-05-01,Monthly Fee,26.5
396795,2019-04-01,2019-03-28,Annual Fee,748.8
396795,2019-04-01,2019-03-28,Monthly Fee,26.5
396795,2019-04-01,2019-05-01,Monthly Fee,26.5
396809,2019-04-01,2019-03-28,Annual Fee,1627.1
396809,2019-04-01,2019-03-28,Monthly Fee,26.5
396809,2019-04-01,2019-05-01,Monthly Fee,26.5
396824,2019-04-01,2019-03-28,Annual Fee,277.1
396824,2019-04-01,2019-03-28,Monthly Fee,26.5
396839,2019-04-01,2019-03-28,Annual Fee,524.9
396839,2019-04-01,2019-03-28,Monthly Fee,26.5
396849,2019-04-01,2019-03-28,Annual Fee,245.4
396849,2019-04-01,2019-03-28,Monthly Fee,26.5
396849,2019-04-01,2019-05-01,Monthly Fee,26.5
396869,2019-04-01,2019-03-28,Annual Fee,269.9
396869,2019-04-01,2019-03-28,Monthly Fee,26.5
396869,2019-04-01,2019-05-01,Monthly Fee,26.5
396910,2019-04-01,2019-03-29,Annual Fee,382.9
396910,2019-04-01,2019-03-29,Monthly Fee,26.5
396926,2019-04-01,2019-03-29,Annual Fee,285.9
396926,2019-04-01,2019-03-29,Monthly Fee,26.5
396926,2019-04-01,2019-05-01,Monthly Fee,26.5
396946,2019-04-01,2019-03-29,Annual Fee,579.6
